order.id;order.line;order.date;customer.id;product.id;quantity
1;1;01/07/2011;2;48;1
2;2;01/07/2011;2;52;1
3;1;01/10/2011;10;76;1
4;2;01/10/2011;10;52;1
5;1;01/10/2011;6;2;1
6;2;01/10/2011;6;50;1
7;3;01/10/2011;6;1;1
8;4;01/10/2011;6;4;1
9;5;01/10/2011;6;34;1
10;1;01/11/2011;22;26;1
11;1;01/11/2011;8;96;1
12;2;01/11/2011;8;66;2
13;3;01/11/2011;8;35;1
14;4;01/11/2011;8;72;1
15;1;01/11/2011;16;45;1
16;2;01/11/2011;16;39;1
17;3;01/11/2011;16;87;1
18;4;01/11/2011;16;31;1
19;1;01/12/2011;9;2;1
20;2;01/12/2011;9;15;1
21;3;01/12/2011;9;10;1
22;4;01/12/2011;9;65;1
23;5;01/12/2011;9;87;1
24;6;01/12/2011;9;55;1
25;7;01/12/2011;9;7;1
26;8;01/12/2011;9;67;1
27;9;01/12/2011;9;61;1
28;10;01/12/2011;9;18;2
29;11;01/12/2011;9;96;1
30;12;01/12/2011;9;42;1
31;13;01/12/2011;9;56;1
32;14;01/12/2011;9;93;2
33;1;01/12/2011;16;35;1
34;2;01/12/2011;16;96;3
35;1;1/17/2011;25;29;1
36;2;1/17/2011;25;13;2
37;3;1/17/2011;25;18;1
38;4;1/17/2011;25;16;1
39;5;1/17/2011;25;36;5
40;1;1/17/2011;20;19;1
41;1;1/18/2011;19;11;1
42;2;1/18/2011;19;13;2
43;3;1/18/2011;19;10;1
44;4;1/18/2011;19;39;1
45;5;1/18/2011;19;23;1
46;6;1/18/2011;19;65;1
47;7;1/18/2011;19;43;1
48;1;1/20/2011;6;27;2
49;2;1/20/2011;6;49;1
50;3;1/20/2011;6;67;1
51;4;1/20/2011;6;11;1
52;5;1/20/2011;6;26;1
53;6;1/20/2011;6;39;1
54;7;1/20/2011;6;28;1
55;8;1/20/2011;6;32;1
56;9;1/20/2011;6;22;1
57;10;1/20/2011;6;13;1
58;11;1/20/2011;6;29;1
59;12;1/20/2011;6;63;1
60;13;1/20/2011;6;31;1
61;14;1/20/2011;6;15;1
62;15;1/20/2011;6;40;1
63;16;1/20/2011;6;10;3
64;17;1/20/2011;6;37;1
65;18;1/20/2011;6;8;1
66;19;1/20/2011;6;57;1
67;1;1/20/2011;7;4;1
68;2;1/20/2011;7;18;1
69;1;1/24/2011;14;87;1
70;2;1/24/2011;14;76;1
71;3;1/24/2011;14;69;1
72;1;1/25/2011;13;3;1
73;2;1/25/2011;13;35;1
74;3;1/25/2011;13;65;3
75;4;1/25/2011;13;5;1
76;5;1/25/2011;13;19;1
77;6;1/25/2011;13;84;2
78;7;1/25/2011;13;90;1
79;8;1/25/2011;13;16;1
80;9;1/25/2011;13;1;1
81;10;1/25/2011;13;88;1
82;11;1/25/2011;13;44;1
83;12;1/25/2011;13;22;2
84;1;1/25/2011;9;73;4
85;2;1/25/2011;9;91;1
86;3;1/25/2011;9;95;1
87;4;1/25/2011;9;94;1
88;5;1/25/2011;9;3;1
89;6;1/25/2011;9;72;1
90;7;1/25/2011;9;65;1
91;8;1/25/2011;9;49;2
92;1;1/26/2011;5;38;1
93;1;1/28/2011;8;21;1
94;2;1/28/2011;8;64;1
95;1;1/28/2011;2;66;2
96;2;1/28/2011;2;61;1
97;1;1/28/2011;10;9;1
98;2;1/28/2011;10;14;1
99;3;1/28/2011;10;50;1
100;4;1/28/2011;10;85;1
101;5;1/28/2011;10;16;1
102;6;1/28/2011;10;27;1
103;7;1/28/2011;10;79;1
104;8;1/28/2011;10;78;1
105;9;1/28/2011;10;77;1
106;1;02/01/2011;17;51;1
107;2;02/01/2011;17;3;4
108;3;02/01/2011;17;61;1
109;4;02/01/2011;17;26;1
110;5;02/01/2011;17;65;1
111;1;02/01/2011;21;33;2
112;2;02/01/2011;21;36;1
113;3;02/01/2011;21;74;1
114;4;02/01/2011;21;37;1
115;5;02/01/2011;21;87;3
116;6;02/01/2011;21;24;1
117;7;02/01/2011;21;43;2
118;8;02/01/2011;21;79;1
119;9;02/01/2011;21;28;1
120;10;02/01/2011;21;10;2
121;1;02/04/2011;8;48;1
122;2;02/04/2011;8;71;1
123;3;02/04/2011;8;92;1
124;4;02/04/2011;8;30;1
125;5;02/04/2011;8;42;1
126;1;02/07/2011;22;40;1
127;2;02/07/2011;22;29;7
128;3;02/07/2011;22;2;3
129;4;02/07/2011;22;37;1
130;5;02/07/2011;22;6;1
131;6;02/07/2011;22;73;1
132;7;02/07/2011;22;42;2
